City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
327,Yashkul,RU,46.1711,45.3435,37.53,88,28,9.73,scattered clouds
328,Nizhniy Kuranakh,RU,58.8353,125.4869,-39.66,78,95,1.5,overcast clouds
329,Yelizovo,RU,53.1873,158.3805,23.0,74,90,20.13,snow
330,Tupelo,US,34.2576,-88.7034,52.0,43,90,14.97,overcast clouds
331,Manono,CD,-7.3,27.4167,74.61,83,34,1.68,light rain
332,Bengkulu,ID,-3.8004,102.2655,75.65,88,99,6.73,overcast clouds
333,Acajutla,SV,13.5928,-89.8275,80.6,54,20,9.69,few clouds
334,Bud,US,39.447,-86.1758,34.0,69,100,12.8,overcast clouds
335,Tautira,PF,-17.7333,-149.15,80.6,65,75,3.44,light rain
336,Kabo,CF,7.6994,18.629,85.3,19,40,3.38,scattered clouds
337,Suozhen,CN,36.9539,118.1047,43.0,50,100,4.41,overcast clouds
338,Ilebo,CD,-4.3167,20.5833,75.02,89,90,3.38,moderate rain
339,Ayan,RU,56.45,138.1667,-4.31,83,100,3.67,overcast clouds
340,Yeppoon,AU,-23.1333,150.7333,75.2,78,19,5.75,few clouds
341,Boyolangu,ID,-8.1181,111.8935,74.55,88,100,4.41,moderate rain
342,Nioro,GM,13.35,-15.75,98.74,8,20,7.29,few clouds
343,Husavik,IS,66.0449,-17.3389,19.4,63,75,6.91,broken clouds
344,Pemberton,CA,50.3164,-122.8027,26.6,93,90,2.3,overcast clouds
345,Myitkyina,MM,25.3833,97.4,57.7,81,11,2.55,few clouds
